Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
AVALON HYBRID XLE,69,2.5,4,6,Auto(AV-S6),44,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
AVALON XLE,45,3.5,6,8,Auto(S8),26,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY,65,2.5,4,8,Auto(S8),34,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY,39,3.5,6,8,Auto(S8),26,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY AWD LE/SE,110,2.5,4,8,Auto(S8),29,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY AWD XLE/XSE,111,2.5,4,8,Auto(S8),28,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY HYBRID LE,66,2.5,4,6,Auto(AV-S6),52,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY HYBRID XLE/SE,67,2.5,4,6,Auto(AV-S6),46,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY LE/SE,63,2.5,4,8,Auto(S8),32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY TRD,104,3.5,6,8,Auto(S8),25,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY XLE/XSE,64,2.5,4,8,Auto(S8),31,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CAMRY XSE,48,3.5,6,8,Auto(S8),26,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
PRIUS,51,1.8,4,1,Auto(AV),52,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
PRIUS AWD,52,1.8,4,1,Auto(AV),50,Naturally Aspirated,N,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
PRIUS Eco,53,1.8,4,1,Auto(AV),56,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Passat,46,2,4,6,Auto(S6),27,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S90 AWD,118,2,4,8,Auto(S8),25,Turbocharged+Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
A8L,49,3,6,8,Auto(S8),21,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A8L,40,4,8,8,Auto(S8),18,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S8,41,4,8,8,Auto(S8),16,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
740i,741,3,6,8,Auto(S8),24,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
740i xDrive,742,3,6,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
750i xDrive,753,4.4,8,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Alpina B7,757,4.4,8,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M760i xDrive,760,6.6,12,8,Auto(S8),16,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
X1 sDrive28i,152,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
X1 xDrive28i,150,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CT6 AWD,103,3.6,6,10,Auto(S10),21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CT6 AWD,132,4.2,8,10,Auto(S10),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
IMPALA,111,3.6,6,6,Auto(S6),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",85,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPALA,109,3.6,6,6,Auto(S6),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
300,11,3.6,6,8,Auto(A8),23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
300,12,5.7,8,8,Auto(A8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
300 AWD,13,3.6,6,8,Auto(A8),21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Charger,15,3.6,6,8,Auto(A8),23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Charger,16,5.7,8,8,Auto(A8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
Charger,17,6.4,8,8,Auto(A8),18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Charger AWD,26,3.6,6,8,Auto(A8),21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Charger SRT Widebody,6,6.2,8,8,Auto(A8),15,Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Charger Widebody,25,6.4,8,8,Auto(A8),18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
G80 AWD,19,3.3,6,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G80 AWD,6,3.8,6,8,Auto(S8),20,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G80 AWD,21,5,8,8,Auto(S8),18,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G80 RWD,20,3.3,6,8,Auto(S8),20,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G80 RWD,7,3.8,6,8,Auto(S8),21,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G80 RWD,22,5,8,8,Auto(S8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G90 AWD,41,3.3,6,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G90 AWD,43,5,8,8,Auto(S8),18,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G90 RWD,42,3.3,6,8,Auto(S8),20,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G90 RWD,44,5,8,8,Auto(S8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ACCORD,34,1.5,4,1,Auto(AV),33,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ACCORD,35,1.5,4,7,Auto(AV-S7),31,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ACCORD,33,1.5,4,6,Manual(M6),30,Turbocharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ACCORD,39,2,4,1,Auto(AV),48,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
ACCORD,37,2,4,10,Auto(S10),27,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ACCORD,36,2,4,6,Manual(M6),26,Turbocharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 5DR,14,1.5,4,1,Auto(AV),34,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 5DR,15,1.5,4,7,Auto(AV-S7),32,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 5DR,13,1.5,4,6,Manual(M6),32,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 5DR,64,2,4,6,Manual(M6),25,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Elantra GT,39,1.6,4,7,Auto(AM-S7),28,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Elantra GT,40,1.6,4,6,Manual(M6),26,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Elantra GT,38,2,4,6,Auto(S6),27,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Ioniq,50,1.6,4,6,Auto(AM6),55,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Ioniq Blue,51,1.6,4,6,Auto(AM6),58,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Sonata,56,1.6,4,8,Auto(S8),31,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Sonata,55,2.5,4,8,Auto(S8),32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
Sonata,54,2.5,4,8,Auto(S8),31,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
Sonata Hybrid,57,2,4,6,Auto(AM-S6),47,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Sonata Hybrid Blue,58,2,4,6,Auto(AM-S6),52,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Cadenza,40,3.3,6,8,Auto(S8),23,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
K900,25,3.3,6,8,Auto(S8),21,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Optima,16,1.6,4,7,Auto(AM7),31,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Optima,17,2,4,6,Auto(S6),24,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Optima,18,2.4,4,6,Auto(S6),27,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Optima FE,19,2.4,4,6,Auto(S6),29,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CONTINENTAL AWD,37,2.7,6,6,Auto(S6),20,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CONTINENTAL AWD,39,3,6,6,Auto(S6),19,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CONTINENTAL AWD,146,3.7,6,6,Auto(S6),19,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
CONTINENTAL COACH,313,3,6,6,Auto(S6),19,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CONTINENTAL FWD,38,2.7,6,6,Auto(S6),21,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CONTINENTAL FWD,147,3.7,6,6,Auto(S6),20,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
QUATTROPORTE GTS,30,3.8,8,8,Auto(A8),17,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
QUATTROPORTE S,37,3,6,8,Auto(A8),19,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
QUATTROPORTE S Q4,33,3,6,8,Auto(A8),18,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG S 63 4MATIC+,205,4,8,9,Auto(A9),20,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG S 65,208,6,12,7,Auto(A7),16,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,1,Multipoint/sequential fuel injection
Maybach S 650,203,6,12,7,Auto(A7),16,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,1,Multipoint/sequential fuel injection
S 450,520,3,6,9,Auto(A9),22,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
S 450 4MATIC,521,3,6,9,Auto(A9),22,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
S 560,202,4,8,9,Auto(A9),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
S 560 4MATIC,207,4,8,9,Auto(A9),21,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
S 560 4MATIC Maybach,326,4,8,9,Auto(A9),19,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera,601,3,6,8,Auto(AM-S8),22,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera 4,606,3,6,8,Auto(AM-S8),22,Turbocharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera 4 Executive,607,3,6,8,Auto(AM-S8),22,Turbocharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera 4 ST,608,3,6,8,Auto(AM-S8),22,Turbocharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera 4S,616,2.9,6,8,Auto(AM-S8),21,Turbocharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera 4S Executive,617,2.9,6,8,Auto(AM-S8),21,Turbocharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera 4S ST,618,2.9,6,8,Auto(AM-S8),20,Turbocharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera GTS,621,4,8,8,Auto(AM-S8),19,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera GTS ST,622,4,8,8,Auto(AM-S8),18,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera Turbo,631,4,8,8,Auto(AM-S8),21,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera Turbo Exec,632,4,8,8,Auto(AM-S8),21,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Panamera Turbo ST,633,4,8,8,Auto(AM-S8),20,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Ghost,5,6.6,12,8,Auto(S8),14,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Ghost EWB,6,6.6,12,8,Auto(S8),14,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Phantom,1,6.7,12,8,Auto(S8),14,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Phantom EWB,2,6.7,12,8,Auto(S8),14,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
LEGACY,13,2.4,4,8,Auto(AV-S8),27,Turbocharged,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
LEGACY,8,2.5,4,8,Auto(AV-S8),30,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Arteon,62,2,4,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Arteon 4Motion,63,2,4,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A4 allroad quattro,55,2,4,7,Auto(AM-S7),26,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
REGAL TOUR X AWD,25,2,4,8,Auto(S8),24,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
SONIC 5,79,1.4,4,6,Auto(S6),29,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
500L,400,1.4,4,6,Auto(A6),25,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
FIT,59,1.5,4,1,Auto(AV),36,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
FIT,60,1.5,4,7,Auto(AV-S7),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
FIT,61,1.5,4,6,Manual(M6),31,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
HR-V AWD,48,1.8,4,1,Auto(AV),29,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
HR-V AWD,49,1.8,4,7,Auto(AV-S7),28,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
HR-V FWD,46,1.8,4,1,Auto(AV),30,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
HR-V FWD,47,1.8,4,7,Auto(AV-S7),30,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Niro,35,1.6,4,6,Auto(AM6),49,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Niro FE,36,1.6,4,6,Auto(AM6),50,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Niro Touring,37,1.6,4,6,Auto(AM6),43,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Soul,8,1.6,4,7,Auto(AM-S7),29,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Soul,5,2,4,1,Auto(AV),30,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Soul,7,2,4,6,Manual(M6),27,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Soul Eco dynamics,6,2,4,1,Auto(AV),31,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Rogue Sport,201,2,4,8,Auto(AV-S8),28,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Rogue Sport AWD,203,2,4,8,Auto(AV-S8),27,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPREZA 5-Door,6,2,4,7,Auto(AV-S7),31,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPREZA 5-Door,4,2,4,5,Manual(M5),26,Naturally Aspirated,N,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPREZA 5-Door SPORT,28,2,4,7,Auto(AV-S7),30,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPREZA 5-Door SPORT,27,2,4,5,Manual(M5),25,Naturally Aspirated,N,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
V60 CC AWD,133,2,4,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
V60 FWD,131,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
A6 Allroad,45,3,6,7,Auto(AM-S7),22,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XF Sportbrake AWD,269,2,4,8,Auto(S8),24,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XF Sportbrake AWD,268,3,6,8,Auto(S8),21,Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
AMG E 63 S 4MATIC+ (SW),361,4,8,9,Auto(A9),19,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
E 450 4MATIC (station wagon),303,3,6,9,Auto(A9),22,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
MURANO AWD,43,3.5,6,7,Auto(AV-S7),23,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MURANO FWD,42,3.5,6,7,Auto(AV-S7),23,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Cullinan,10,6.7,12,8,Auto(S8),14,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Cullinan Black Badge,11,6.7,12,8,Auto(S8),14,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
V90 AWD,109,2,4,8,Auto(S8),25,Turbocharged+Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
V90 CC AWD,115,2,4,8,Auto(S8),24,Turbocharged+Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
V90 FWD,104,2,4,8,Auto(S8),26,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
COLORADO 2WD,783,2.5,4,6,Auto(A6),22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COLORADO 2WD,713,2.8,4,6,Auto(A6),23,Turbocharged,Y,"2-Wheel Drive, Rear",,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
COLORADO 2WD,779,3.6,6,8,Auto(A8),20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CANYON 2WD,784,2.5,4,6,Auto(A6),22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CANYON 2WD,714,2.8,4,6,Auto(A6),23,Turbocharged,Y,"2-Wheel Drive, Rear",,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
CANYON 2WD,780,3.6,6,8,Auto(A8),20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
RIDGELINE FWD,57,3.5,6,9,Auto(S9),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TACOMA 2WD,34,2.7,4,6,Auto(S6),21,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
TACOMA 2WD,30,3.5,6,6,Auto(S6),21,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
COLORADO 4WD,798,2.5,4,6,Auto(A6),21,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
