Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
Evora GT,9,3.5,6,6,Manual(M6),20,Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
COOPER CONVERTIBLE,36,1.5,3,7,Auto(AM-S7),31,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER S CONVERTIBLE,58,2,4,7,Auto(AM-S7),29,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
JOHN COOPER WORKS CONVERTIBLE,82,2,4,8,Auto(S8),28,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
911 Carrera,102,3,6,8,Auto(AM-S8),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera 4,110,3,6,8,Auto(AM-S8),20,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera 4 Cabriolet,112,3,6,8,Auto(AM-S8),20,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera 4S,114,3,6,8,Auto(AM-S8),20,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera 4S,113,3,6,7,Manual(M7),20,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera 4S Cabriolet,116,3,6,8,Auto(AM-S8),20,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera 4S Cabriolet,115,3,6,7,Manual(M7),20,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera Cabriolet,104,3,6,8,Auto(AM-S8),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera S,106,3,6,8,Auto(AM-S8),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera S,105,3,6,7,Manual(M7),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera S Cabriolet,108,3,6,8,Auto(AM-S8),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
911 Carrera S Cabriolet,107,3,6,7,Manual(M7),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
BRZ,2,2,4,6,Auto(S6),27,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
BRZ,1,2,4,6,Manual(M6),24,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
BRZ tS,31,2,4,6,Manual(M6),23,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
86,105,2,4,6,Auto(S6),27,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
86,106,2,4,6,Manual(M6),24,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
A3,27,2,4,7,Auto(AM-S7),30,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A3 Cabriolet quattro,13,2,4,7,Auto(AM-S7),25,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A3 quattro,12,2,4,7,Auto(AM-S7),25,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A5 Cabriolet quattro,56,2,4,7,Auto(AM-S7),26,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A5 quattro,53,2,4,7,Auto(AM-S7),27,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
RS3,50,2.5,5,7,Auto(AM-S7),23,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S3,17,2,4,7,Auto(AM-S7),25,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S5,35,3,6,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S5 Cabriolet,37,3,6,8,Auto(S8),22,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TT Coupe quattro,14,2,4,7,Auto(AM-S7),26,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TT RS,51,2.5,5,7,Auto(AM-S7),23,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TTS Coupe,18,2,4,7,Auto(AM-S7),25,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Continental GT,9,4,8,8,Auto(AM-S8),19,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Continental GT,64,6,12,8,Auto(AM-S8),15,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
230i Convertible,204,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
230i Coupe,200,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
230i Coupe,201,2,4,6,Manual(M6),25,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
230i xDrive Convertible,206,2,4,8,Auto(S8),24,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
230i xDrive Coupe,202,2,4,8,Auto(S8),24,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
430i Convertible,404,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
430i xDrive Convertible,406,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
440i Convertible,414,3,6,8,Auto(S8),24,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
440i xDrive Convertible,416,3,6,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
840i Convertible,804,3,6,8,Auto(S8),24,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
840i Coupe,800,3,6,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
840i xDrive Convertible,806,3,6,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
840i xDrive Coupe,802,3,6,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M2 Competition Coupe,281,3,6,7,Auto(AM-S7),19,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M2 Competition Coupe,280,3,6,6,Manual(M6),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
M2 CS Coupe,289,3,6,7,Auto(AM-S7),19,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
