Name,Club,Age,League,Height,Body Type,Market Value (EUR),FIFA Strength Score,Game effort
Marcelo,Real Madrid CF,29,Spanish Primera Division,174,Normal,38000000,87,High
I. Rakitic,FC Barcelona,29,Spanish Primera Division,184,Normal,48500000,87,Medium
David Silva,Manchester City,31,English Premier League,173,Normal,44000000,87,High
Piqué,FC Barcelona,30,Spanish Primera Division,194,Normal,37500000,87,High
Iniesta,FC Barcelona,33,Spanish Primera Division,171,Normal,29500000,87,High
H. Kane,Tottenham Hotspur,23,English Premier League,188,Normal,59000000,86,High
J. Rodríguez,FC Bayern Munich,25,German Bundesliga,180,Normal,56000000,86,Medium
Isco,Real Madrid CF,25,Spanish Primera Division,176,Normal,56500000,86,High
D. Alaba,FC Bayern Munich,25,German Bundesliga,180,Lean,44500000,86,High
R. Lukaku,Manchester United,24,English Premier League,190,Normal,59000000,86,Medium
T. Müller,FC Bayern Munich,27,German Bundesliga,186,Lean,47500000,86,High
Sergio Busquets,FC Barcelona,28,Spanish Primera Division,189,Lean,36000000,86,Medium
Coutinho,Liverpool,25,English Premier League,171,Lean,56000000,86,High
M. Reus,Borussia Dortmund,28,German Bundesliga,180,Lean,45000000,86,Medium
T. Alderweireld,Tottenham Hotspur,28,English Premier League,187,Normal,40500000,86,Medium
David Luiz,Chelsea,30,English Premier League,189,Normal,33000000,86,Medium
Diego Costa,Chelsea,28,English Premier League,186,Normal,46000000,86,High
Javi Martínez,FC Bayern Munich,28,German Bundesliga,190,Normal,36000000,86,Medium
Sokratis,Borussia Dortmund,29,German Bundesliga,186,Normal,34500000,86,Medium
K. Benzema,Real Madrid CF,29,Spanish Primera Division,187,Normal,44500000,86,Medium
Cesc Fàbregas,Chelsea,30,English Premier League,180,Normal,41000000,86,High
F. Ribéry,FC Bayern Munich,34,German Bundesliga,170,Normal,22500000,86,High
P. Cech,Arsenal,35,English Premier League,196,Normal,10500000,86,Medium
Y. Carrasco,Atlético Madrid,23,Spanish Primera Division,180,Lean,51500000,85,High
R. Varane,Real Madrid CF,24,Spanish Primera Division,191,Lean,46500000,85,Medium
Morata,Chelsea,24,English Premier League,189,Normal,51000000,85,High
Casemiro,Real Madrid CF,25,Spanish Primera Division,184,Normal,42000000,85,Medium
Koke,Atlético Madrid,25,Spanish Primera Division,178,Normal,47500000,85,High
A. Lacazette,Arsenal,26,English Premier League,175,Normal,48500000,85,High
K. Navas,Real Madrid CF,30,Spanish Primera Division,185,Normal,24500000,85,Medium
H. Mkhitaryan,Manchester United,28,English Premier League,177,Normal,39000000,85,High
B. Leno,Bayer 04 Leverkusen,25,German Bundesliga,190,Normal,34000000,85,Medium
M. ter Stegen,FC Barcelona,25,Spanish Primera Division,187,Normal,35500000,85,Medium
Jordi Alba,FC Barcelona,28,Spanish Primera Division,170,Normal,30500000,85,High
I. Gündogan,Manchester City,26,English Premier League,180,Normal,46000000,85,High
Azpilicueta,Chelsea,27,English Premier League,178,Normal,37500000,85,Medium
J. Vertonghen,Tottenham Hotspur,30,English Premier League,189,Normal,28500000,85,High
Filipe Luís,Atlético Madrid,31,Spanish Primera Division,182,Lean,25000000,85,High
V. Kompany,Manchester City,31,English Premier League,193,Normal,26000000,85,Medium
E. Bailly,Manchester United,23,English Premier League,187,Normal,35500000,84,Medium
Marco Asensio,Real Madrid CF,21,Spanish Primera Division,180,Normal,46000000,84,Medium
Bernardo Silva,Manchester City,22,English Premier League,173,Lean,43500000,84,Medium
A. Laporte,Athletic Club de Bilbao,23,Spanish Primera Division,189,Normal,35500000,84,Medium
D. Alli,Tottenham Hotspur,21,English Premier League,188,Lean,43000000,84,High
S. Mané,Liverpool,25,English Premier League,175,Normal,39000000,84,High
Carvajal,Real Madrid CF,25,Spanish Primera Division,173,Stocky,32000000,84,High
T. Horn,1. FC Köln,24,German Bundesliga,192,Normal,31000000,84,Medium
S. Mustafi,Arsenal,25,English Premier League,184,Normal,31500000,84,Medium
Ander Herrera,Manchester United,27,English Premier League,182,Lean,32000000,84,High
N. Matic,Manchester United,28,English Premier League,194,Lean,25000000,84,Medium
Pedro,Chelsea,29,English Premier League,169,Normal,30500000,84,High
R. Bürki,Borussia Dortmund,26,German Bundesliga,187,Normal,26000000,84,Medium
